风机名,状态码值,状态码描述,激活时间,复位时间
,20032,自检程序3转速故障2, 2019-04-11 17:51:39:286, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-04-11 18:45:32:794, 2019-04-11 18:47:12:174
,300681,变桨系统轴1桨距角偏差超限, 2019-04-11 22:29:24:367, 2019-04-11 22:35:10:444
,300681,变桨系统轴1桨距角偏差超限, 2019-04-11 22:56:34:960, 2019-04-11 23:02:21:560
,20032,自检程序3转速故障2, 2019-04-12 02:15:24:299, 2019-04-12 02:24:57:055
,300681,变桨系统轴1桨距角偏差超限, 2019-04-12 02:31:33:695, 2019-04-12 06:00:47:463
,300683,变桨系统轴3桨距角偏差超限, 2019-04-12 04:48:37:081, 2019-04-12 05:54:17:234
,300683,变桨系统轴3桨距角偏差超限, 2019-04-12 06:35:59:853, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-04-12 07:15:05:707, 2019-04-12 07:44:24:084
,300681,变桨系统轴1桨距角偏差超限, 2019-04-12 07:59:50:071, 0000-00-00 00:00:00:000
,80072,齿轮箱润滑油泵马达保护, 2019-04-12 09:18:09:715, 2019-04-12 16:06:56:060
,20032,自检程序3转速故障2, 2019-04-12 09:28:28:691, 2019-04-12 09:50:07:074
,300681,变桨系统轴1桨距角偏差超限, 2019-04-12 09:29:22:382, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-12 10:33:48:378, 2019-04-12 10:46:29:819
,20032,自检程序3转速故障2, 2019-04-12 11:00:26:840, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-04-12 11:57:42:977, 2019-04-12 12:08:21:451
,300681,变桨系统轴1桨距角偏差超限, 2019-04-12 12:16:51:718, 2019-04-12 12:25:19:335
,300681,变桨系统轴1桨距角偏差超限, 2019-04-12 12:49:13:849, 2019-04-12 13:57:00:148
,80072,齿轮箱润滑油泵马达保护, 2019-04-12 16:12:34:860, 2019-04-12 16:17:48:417
,80072,齿轮箱润滑油泵马达保护, 2019-04-13 08:32:48:192, 2019-04-13 08:48:17:789
,60004,自动解缆, 2019-04-13 18:31:14:369, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-13 22:42:41:942, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-13 23:24:02:482, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-14 02:59:15:486, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-14 04:53:09:362, 2019-04-14 05:11:31:549
,60005,手动偏航, 2019-04-14 05:32:21:760, 2019-04-14 05:59:35:697
,20032,自检程序3转速故障2, 2019-04-14 05:58:17:606, 2019-04-14 06:07:39:459
,300681,变桨系统轴1桨距角偏差超限, 2019-04-14 08:01:29:013, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-14 09:33:00:950, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-15 05:54:45:686, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-15 06:15:50:393, 2019-04-15 07:09:59:525
,300682,变桨系统轴2桨距角偏差超限, 2019-04-15 07:01:40:780, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-15 08:14:27:953, 0000-00-00 00:00:00:000
,80072,齿轮箱润滑油泵马达保护, 2019-04-15 09:32:16:531, 2019-04-15 12:28:05:218
,60004,自动解缆, 2019-04-16 08:57:08:178, 0000-00-00 00:00:00:000
,80072,齿轮箱润滑油泵马达保护, 2019-04-16 09:02:12:869, 2019-04-16 12:08:01:212
,30112,欠速, 2019-04-16 09:33:58:031, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-16 09:43:20:899, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-16 11:30:21:943, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-16 11:45:09:179, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-04-16 23:52:24:630, 0000-00-00 00:00:00:000
,30112,欠速, 2019-04-17 00:15:17:973, 2019-04-17 00:19:05:873
,30112,欠速, 2019-04-17 00:35:27:851, 2019-04-17 00:38:30:771
,30206,系统故障, 2019-04-17 00:41:45:532, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-04-17 01:22:59:694, 2019-04-17 01:24:44:274
,20032,自检程序3转速故障2, 2019-04-17 01:40:52:113, 2019-04-17 01:42:19:705
,20032,自检程序3转速故障2, 2019-04-17 04:28:31:451, 2019-04-17 04:30:30:051
,20032,自检程序3转速故障2, 2019-04-17 05:22:54:823, 2019-04-17 05:25:08:663
,300683,变桨系统轴3桨距角偏差超限, 2019-04-17 08:13:00:443, 2019-04-17 08:14:02:483
,60005,手动偏航, 2019-04-17 08:20:30:165, 2019-04-17 15:38:49:677
,80072,齿轮箱润滑油泵马达保护, 2019-04-17 08:42:13:094, 2019-04-17 15:05:25:490
,300681,变桨系统轴1桨距角偏差超限, 2019-04-17 09:20:51:387, 2019-04-17 09:25:15:381
,300683,变桨系统轴3桨距角偏差超限, 2019-04-17 09:56:42:168, 2019-04-17 09:57:44:802
,20032,自检程序3转速故障2, 2019-04-17 10:00:22:502, 2019-04-17 10:01:36:742
,20032,自检程序3转速故障2, 2019-04-17 10:37:37:081, 2019-04-17 10:40:11:881
,300681,变桨系统轴1桨距角偏差超限, 2019-04-17 10:43:03:014, 2019-04-17 10:44:10:554
,80072,齿轮箱润滑油泵马达保护, 2019-04-17 15:05:28:370, 2019-04-17 15:18:23:845
,80072,齿轮箱润滑油泵马达保护, 2019-04-17 16:36:51:481, 2019-04-17 17:15:03:161
,300682,变桨系统轴2桨距角偏差超限, 2019-04-18 02:15:18:028, 2019-04-18 02:23:43:102
,70070,发电机主电刷故障, 2019-04-19 09:52:19:163, 0000-00-00 00:00:00:000
,130101,塔底控制柜UPS1电池故障, 2019-05-01 02:24:16:762, 2019-05-01 02:29:09:235
,80072,齿轮箱润滑油泵马达保护, 2019-05-01 08:36:52:188, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-01 11:35:35:438, 0000-00-00 00:00:00:000
,300511,桨叶1的电机温度超限, 2019-05-01 12:15:07:097, 2019-05-02 11:59:37:436
,170030,风向与机舱偏差超限, 2019-05-01 14:04:14:274, 2019-05-01 14:06:14:314
,30206,系统故障, 2019-05-01 21:56:49:203, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-02 02:55:10:973, 2019-05-02 03:00:08:253
,30206,系统故障, 2019-05-02 04:53:57:630, 0000-00-00 00:00:00:000
,30108,网侧变流器过流, 2019-05-02 08:41:49:694, 2019-05-02 08:47:42:134
,30206,系统故障, 2019-05-02 08:54:03:566, 0000-00-00 00:00:00:000
,60005,手动偏航, 2019-05-02 09:48:26:997, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-02 12:23:51:979, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-02 16:34:13:259, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-02 18:11:19:813, 2019-05-02 18:16:46:773
